# Resolved addresses found in D:\College\Semester-5\FCS_FoundationstoComputerSecurity\Foundations-to-Computer-Security-Assignments\Assignment-3\HW3_Resources\Part 5\log.pcap

# Comments
#
# No entries.

# Hosts
#
# 662 entries.

204.236.217.237	config-elb-2140021749.us-east-1.elb.amazonaws.com
216.239.34.10	ns2.google.com
207.171.178.7	ns-916.amazonaws.com
54.240.160.93	d1z2jf7jlzjs58.cloudfront.net
74.125.225.60	s0-2mdn-net.l.google.com
204.74.114.1	pdns5.ultradns.info
8.18.45.81	img.mplx.akadns.net
216.156.249.143	n0x.akamai.net
207.171.178.13	ns-911.amazon.com
66.220.149.88	facebook.com
170.149.173.130	nytimes.com
23.21.215.215	adchoices-icon-cde-1968696106.us-east-1.elb.amazonaws.com
54.240.188.30	d1zgderxoe1a.cloudfront.net
192.48.79.30	j.gtld-servers.net
204.13.251.5	ns4.p05.dynect.net
84.14.227.139	subs.wide.iht.com
66.235.139.118	condenast.112.2o7.net
23.21.182.104	inplay-rcv04.tubemogul.com
23.15.7.66	a1725.dspl.akamai.net
193.108.88.192	n0dsw4.akamai.net
8.21.24.35	sb1.data.aggregateknowledge.com
74.125.225.209	www.google.com
76.74.254.123	lb.wordpress.com
23.15.7.72	a1725.dspl.akamai.net
66.114.53.31	cheetah.vizu.com.cdngc.net
72.21.215.52	us.dd.imdb.com
91.198.174.214	toolserver.org
184.73.46.94	pixel.prod2.invitemedia.com
204.93.213.72	ssl.shopify.com
208.78.71.24	ns3.p24.dynect.net
206.130.111.30	nytimes.whsites.net
74.125.142.95	googleapis.l.google.com
208.78.71.30	NS3.P30.DYNECT.net
66.235.133.33	condenast.112.2o7.net
192.5.6.30	a.gtld-servers.net
72.233.69.6	lb.wordpress.com
170.201.60.3	www.pnc.com
204.119.131.117	n2c.akamaiedge.net
54.240.188.66	d1zgderxoe1a.cloudfront.net
92.52.69.128	www.ihtinfo.com
97.74.215.216	mtbaldyvillagechurch.com
141.101.125.178	cf-ssl11003-protected-platform.stumbleupon.com.cdn.cloudflare.n
204.13.250.5	ns2.p05.dynect.net
208.93.136.11	dns11.cotcdn.net
66.96.132.32	www.laalmanac.com
72.21.80.6	ns2.edgecastcdn.net
50.16.235.191	adchoices-icon-cde-1968696106.us-east-1.elb.amazonaws.com
64.208.138.94	ib.adnxs.com
66.135.59.147	ns3.creativecommons.org
141.211.144.42	weblogin.umich.edu
66.150.58.1	ns3.internapcdn.net
204.11.109.63	a.tribalfusion.com
74.125.142.125	talk.l.google.com
66.235.132.152	condenast.112.2o7.net
66.235.139.166	condenast.112.2o7.net
64.135.21.3	www.moneynews.com
141.211.13.253	weblogin.umich.edu
208.78.70.24	ns1.p24.dynect.net
87.238.80.213	ns-935.amazonaws.com
66.206.195.58	usatoday.uclick.com
208.78.70.30	NS1.P30.DYNECT.net
74.125.225.132	youtube.com
216.239.32.10	ns1.google.com
